State,Weekend,Flu
AK,07jun2003,0.00349
AK,14jun2003,0.00451
AK,21jun2003,0.00534
AK,28jun2003,0.00406
AK,05jul2003,0.00554
AK,12jul2003,0.00701
AK,19jul2003,0.00367
AK,26jul2003,0.00377
AK,02aug2003,0.00328
AK,09aug2003,0.00701
AK,16aug2003,0.00432
AK,23aug2003,0.00509
AK,30aug2003,0.00658
AK,06sep2003,0.00392
AK,13sep2003,0.00413
AK,20sep2003,0.00397
AK,27sep2003,0.00674
AK,04oct2003,0.00392
AK,11oct2003,0.00695
AK,18oct2003,0.008930001
AK,25oct2003,0.013359999
AK,01nov2003,0.00755
AK,08nov2003,0.01112
AK,15nov2003,0.01238
AK,22nov2003,0.01596
AK,29nov2003,0.022130001
AK,06dec2003,0.044539999
AK,13dec2003,0.094269998
AK,20dec2003,0.05624
AK,27dec2003,0.02328
AK,03jan2004,0.02179
AK,10jan2004,0.01442
AK,17jan2004,0.0126
AK,24jan2004,0.015859999
AK,31jan2004,0.0126
AK,07feb2004,0.00833
AK,14feb2004,0.01447
AK,21feb2004,0.0124
AK,28feb2004,0.01084
AK,06mar2004,0.0149
AK,13mar2004,0.00991
AK,20mar2004,0.01161
AK,27mar2004,0.0101
AK,03apr2004,0.00885
AK,10apr2004,0.011
AK,17apr2004,0.00916
AK,24apr2004,0.01205
AK,01may2004,0.01048
AK,08may2004,0.00703
AK,15may2004,0.01015
AK,22may2004,0.011410001
AK,29may2004,0.00656
AK,05jun2004,0.00589
AK,12jun2004,0.00526
AK,19jun2004,0.00383
AK,26jun2004,0.00363
AK,03jul2004,0.00438
AK,10jul2004,0.00454
AK,17jul2004,0.00424
AK,24jul2004,0.00432
AK,31jul2004,0.00471
AK,07aug2004,0.00481
AK,14aug2004,0.0037
AK,21aug2004,0.00452
AK,28aug2004,0.00457
AK,04sep2004,0.00239
AK,11sep2004,0.00567
AK,18sep2004,0.00932
AK,25sep2004,0.00634
AK,02oct2004,0.009649999
AK,09oct2004,0.010650001
AK,16oct2004,0.009980001
AK,23oct2004,0.01353
AK,30oct2004,0.01242
AK,06nov2004,0.01609
AK,13nov2004,0.012920001
AK,20nov2004,0.016649999
AK,27nov2004,0.017589999
AK,04dec2004,0.01064
AK,11dec2004,0.01107
AK,18dec2004,0.016549999
AK,25dec2004,0.01321
AK,01jan2005,0.01599
AK,08jan2005,0.016720001
AK,15jan2005,0.02138
AK,22jan2005,0.021749999
AK,29jan2005,0.01343
AK,05feb2005,0.02476
AK,12feb2005,0.027729999
AK,19feb2005,0.03805
AK,26feb2005,0.022969998
AK,05mar2005,0.02227
AK,12mar2005,0.028199999
AK,19mar2005,0.014090001
AK,26mar2005,0.01393
AK,02apr2005,0.01505
AK,09apr2005,0.011720001
AK,16apr2005,0.008640001
AK,23apr2005,0.011360001
AK,30apr2005,0.00997
AK,07may2005,0.00806
AK,14may2005,0.00874
AK,21may2005,0.011
AK,28may2005,0.01124
AK,04jun2005,0.00739
AK,11jun2005,0.0071
AK,18jun2005,0.00619
AK,25jun2005,0.00496
AK,02jul2005,0.00433
AK,09jul2005,0.00424
AK,16jul2005,0.00442
AK,23jul2005,0.00685
AK,30jul2005,0.00543
AK,06aug2005,0.00681
AK,13aug2005,0.00477
AK,20aug2005,0.00652
AK,27aug2005,0.00526
AK,03sep2005,0.00633
AK,10sep2005,0.0075
AK,17sep2005,0.00871
AK,24sep2005,0.01064
AK,01oct2005,0.01354
AK,08oct2005,0.01377
AK,15oct2005,0.00871
AK,22oct2005,0.01155
AK,29oct2005,0.012460001
AK,05nov2005,0.01377
AK,12nov2005,0.011849999
AK,19nov2005,0.01175
AK,26nov2005,0.00642
AK,03dec2005,0.01125
AK,10dec2005,0.012519999
AK,17dec2005,0.01028
AK,24dec2005,0.012209999
AK,31dec2005,0.01491
